date,開催,R,方式,買い目,購入金額,1着,2着,3着,払い戻し金額,race_id
2023-06-05,東京,4R,ワイド,"(6, 7)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(6, 8)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(6, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(7, 8)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(7, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(8, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(3, 5)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(3, 7)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(3, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(5, 7)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(5, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,4R,ワイド,"(7, 9)",100,14.0,4.0,16.0,0.0,202305030204
2023-06-05,東京,11R,ワイド,"(3, 4)",1000,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,ワイド,"(3, 14)",1000,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,ワイド,"(3, 18)",1000,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,ワイド,"(4, 14)",1000,18.0,4.0,14.0,4500.0,202305030211
2023-06-05,東京,11R,ワイド,"(4, 18)",1000,18.0,4.0,14.0,7700.0,202305030211
2023-06-05,東京,11R,ワイド,"(14, 18)",1000,18.0,4.0,14.0,4600.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 4, 8)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 4, 9)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 4, 14)",200,18.0,4.0,14.0,29020.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 14, 4)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 14, 8)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 14, 9)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 4, 14)",200,18.0,4.0,14.0,29020.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 4, 17)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 14, 4)",200,18.0,4.0,14.0,0.0,202305030211
2023-06-05,東京,11R,3連単,"(18, 14, 17)",200,18.0,4.0,14.0,0.0,202305030211
